unit_nr,time_cycles,setting_1,setting_2,setting_3,s_2,s_3,s_4,s_7,s_11
1,33,-0.0,-0.0001,100.0,642.73,1587.7,1404.44,553.24,47.139
1,34,-0.0021,0.0002,100.0,642.11,1589.81,1402.89,553.09,47.379
1,35,0.0016,0.0,100.0,642.62,1589.42,1403.96,552.97,47.156
1,36,-0.0024,-0.0002,100.0,642.16,1589.09,1403.08,553.17,47.254
1,37,0.0004,-0.0001,100.0,643.08,1589.42,1404.43,553.77,47.355
1,38,-0.0039,0.0001,100.0,642.98,1588.64,1404.4,553.4,47.181
1,39,-0.0027,-0.0001,100.0,642.11,1591.04,1403.49,553.02,47.317
1,40,0.0004,0.0,100.0,642.69,1589.67,1404.0,553.34,47.152
1,41,0.0015,0.0,100.0,642.57,1589.77,1404.75,553.57,47.248
1,42,0.0003,-0.0001,100.0,642.93,1590.29,1404.22,553.4,47.366
1,43,-0.0002,0.0004,100.0,641.91,1590.25,1403.2,553.12,47.145
1,44,-0.0006,0.0001,100.0,642.68,1590.19,1404.19,552.89,47.397
1,45,-0.003,-0.0004,100.0,642.88,1589.62,1405.46,553.27,47.349
1,46,-0.0014,0.0,100.0,641.65,1590.59,1403.16,553.16,47.426
1,47,-0.0009,-0.0001,100.0,641.94,1591.69,1404.04,553.29,47.394
1,48,0.0021,0.0002,100.0,641.58,1591.44,1402.32,553.19,47.539
1,49,0.0007,-0.0002,100.0,642.41,1591.74,1404.4,553.29,47.398
1,50,-0.0035,-0.0,100.0,642.89,1590.36,1405.43,552.8,47.339
1,51,0.0006,0.0001,100.0,643.27,1590.13,1405.61,553.33,47.413
1,52,-0.0008,0.0002,100.0,642.66,1590.87,1405.29,552.98,47.471
1,53,-0.0014,-0.0002,100.0,643.39,1591.11,1405.57,553.52,47.42
1,54,0.0012,-0.0001,100.0,642.07,1591.99,1404.73,552.67,47.427
1,55,0.0021,-0.0001,100.0,641.95,1590.04,1405.06,553.37,47.345
1,56,0.0019,-0.0001,100.0,642.73,1592.56,1404.87,552.89,47.358
1,57,-0.0017,0.0004,100.0,642.95,1591.41,1405.18,552.62,47.277
1,58,-0.0006,0.0001,100.0,642.8,1591.32,1405.97,552.65,47.663
1,59,0.0007,-0.0003,100.0,641.91,1590.98,1404.83,552.67,47.312
1,60,0.002,0.0002,100.0,642.83,1590.59,1405.11,552.88,47.386
1,61,-0.001,0.0004,100.0,642.32,1592.63,1404.5,552.89,47.39
1,62,-0.0004,0.0002,100.0,643.24,1592.16,1405.9,552.54,47.592
1,63,-0.0022,-0.0003,100.0,643.13,1591.19,1405.26,552.68,47.457
1,64,-0.0024,-0.0001,100.0,642.58,1591.3,1404.75,553.31,47.65
1,65,0.0016,0.0003,100.0,642.8,1592.18,1405.06,553.16,47.427
1,66,0.0027,-0.0001,100.0,642.59,1593.92,1404.94,552.76,47.549
1,67,-0.0001,0.0001,100.0,643.07,1592.46,1406.02,552.62,47.423
1,68,0.002,0.0002,100.0,643.55,1591.55,1406.87,552.62,47.789
1,69,0.0007,-0.0002,100.0,642.71,1592.7,1406.4,552.75,47.397
1,70,-0.0013,-0.0,100.0,643.41,1592.79,1406.16,552.23,47.584
1,71,0.0007,-0.0006,100.0,642.98,1590.86,1406.59,552.44,47.631
1,72,0.0031,-0.0002,100.0,642.89,1593.2,1405.91,552.0,47.612
1,73,-0.0001,-0.0001,100.0,643.23,1593.17,1406.52,552.6,47.548
1,74,0.0031,-0.0002,100.0,642.85,1594.08,1406.4,552.65,47.563
1,75,-0.0052,0.0003,100.0,643.09,1595.2,1405.88,552.29,47.591
1,76,0.0016,-0.0003,100.0,642.84,1594.69,1406.33,552.89,47.576
1,77,0.0002,-0.0001,100.0,644.29,1593.59,1408.3,552.03,47.717
1,78,-0.0006,0.0,100.0,643.45,1592.96,1407.33,551.94,47.875
1,79,0.0002,0.0003,100.0,643.15,1596.35,1406.86,552.42,47.55
1,80,-0.004,-0.0003,100.0,643.6,1594.22,1408.62,552.65,47.461
1,81,-0.0004,0.0002,100.0,643.48,1594.29,1406.95,552.82,47.622
1,82,0.0007,0.0,100.0,643.46,1594.37,1407.02,552.15,47.95
1,83,0.003,-0.0002,100.0,643.87,1594.69,1407.6,552.59,47.552
1,84,-0.001,0.0001,100.0,643.97,1594.49,1407.82,552.24,47.853
1,85,-0.0016,0.0,100.0,643.42,1594.21,1407.05,552.18,47.865
1,86,-0.001,-0.0001,100.0,643.43,1594.34,1408.03,552.47,47.605
1,87,0.0018,0.0,100.0,643.59,1594.94,1408.41,552.38,47.748
1,88,0.0007,-0.0001,100.0,642.71,1594.57,1406.23,551.69,47.883
1,89,-0.0011,0.0,100.0,643.1,1594.52,1406.7,552.59,47.65
1,90,0.001,0.0001,100.0,644.43,1595.41,1409.26,552.54,47.679
1,91,0.0002,0.0003,100.0,644.58,1595.18,1409.0,551.92,47.641
1,92,0.0019,-0.0002,100.0,643.76,1597.01,1408.49,552.2,47.597
1,93,-0.0014,0.0004,100.0,644.17,1593.05,1408.9,552.21,47.649
1,94,-0.0007,-0.0004,100.0,644.08,1596.85,1407.96,552.12,47.588
1,95,-0.0008,-0.0,100.0,645.35,1597.12,1411.32,551.86,47.746
1,96,-0.0029,0.0001,100.0,644.5,1593.93,1410.3,551.8,47.658
1,97,0.0006,0.0001,100.0,643.97,1595.77,1408.4,551.97,47.786
1,98,0.0005,-0.0001,100.0,643.63,1595.85,1408.08,552.31,47.579
1,99,0.0,-0.0,100.0,643.37,1594.91,1408.1,552.1,47.813
1,100,-0.0005,-0.0001,100.0,644.22,1595.66,1409.36,551.81,47.881
1,101,-0.0028,-0.0001,100.0,643.82,1595.43,1409.01,552.13,47.55
1,102,-0.0008,0.0002,100.0,643.55,1598.51,1409.36,551.02,47.842
1,103,-0.0007,0.0001,100.0,643.93,1597.78,1408.84,552.2,47.952
1,104,-0.0016,-0.0001,100.0,643.76,1598.25,1408.34,551.31,47.667
1,105,-0.0003,0.0002,100.0,645.04,1597.79,1409.89,551.7,48.021
1,106,0.0008,0.0001,100.0,644.71,1595.95,1409.8,551.46,47.878
1,107,0.0038,0.0002,100.0,644.34,1596.7,1409.68,551.38,47.751
1,108,0.0003,0.0001,100.0,645.04,1597.9,1411.62,552.1,47.837
1,109,0.0005,-0.0002,100.0,644.44,1596.17,1409.67,551.59,47.919
1,110,-0.0001,-0.0001,100.0,644.05,1598.38,1409.54,551.81,47.868
1,111,-0.0038,0.0001,100.0,645.15,1597.46,1411.0,551.67,47.932
1,112,-0.0001,0.0001,100.0,644.74,1597.42,1411.08,551.81,47.765
1,113,0.0001,-0.0,100.0,644.06,1598.73,1410.84,551.67,47.903
1,114,0.0049,0.0,100.0,644.48,1598.56,1409.95,551.24,47.721
1,115,-0.0004,0.0003,100.0,644.2,1597.77,1409.63,551.9,47.885
1,116,0.0006,-0.0001,100.0,644.0,1599.6,1410.16,551.44,47.798
1,117,-0.0001,0.0001,100.0,645.07,1597.18,1411.52,551.1,47.826
1,118,-0.0023,-0.0,100.0,645.55,1599.22,1412.82,551.41,48.07
1,119,0.0023,-0.0,100.0,644.09,1599.31,1410.2,551.97,48.061
1,120,0.0015,0.0002,100.0,645.0,1598.39,1411.05,551.76,48.011
1,121,0.0016,0.0002,100.0,644.49,1599.24,1410.85,551.37,47.814
1,122,-0.0018,0.0002,100.0,644.59,1597.52,1411.3,551.35,47.915
1,123,0.0028,0.0003,100.0,644.58,1600.17,1411.19,551.34,48.107
1,124,-0.0028,0.0,100.0,644.49,1598.99,1410.95,552.04,47.986
1,125,0.0012,0.0001,100.0,644.93,1598.71,1411.89,551.51,48.255
1,126,0.0044,-0.0001,100.0,644.56,1600.68,1411.47,551.5,48.032
1,127,-0.002,0.0001,100.0,645.09,1598.71,1412.37,551.66,48.015
1,128,-0.0011,-0.0,100.0,644.98,1597.98,1411.9,551.4,47.963
1,129,0.0002,0.0,100.0,644.92,1597.9,1411.45,551.23,48.024
1,130,-0.001,0.0001,100.0,644.65,1600.63,1411.28,551.23,47.997
1,131,-0.0031,-0.0002,100.0,644.83,1598.45,1412.11,551.25,48.108
1,132,0.0001,0.0004,100.0,645.46,1602.27,1412.02,551.24,48.146
1,133,-0.0021,-0.0002,100.0,645.38,1597.68,1412.55,551.45,47.945
1,134,0.0009,-0.0002,100.0,644.75,1602.45,1411.33,551.22,47.887
1,135,-0.0018,0.0002,100.0,645.26,1600.73,1412.31,551.41,47.834
1,136,0.0031,0.0002,100.0,645.59,1600.46,1413.44,551.14,48.123
1,137,-0.0016,0.0001,100.0,644.53,1600.01,1411.46,551.17,47.938
1,138,-0.0006,0.0001,100.0,645.56,1601.32,1412.88,550.53,47.82
1,139,0.0016,-0.0,100.0,645.05,1600.88,1411.51,551.38,48.133
1,140,-0.0025,-0.0002,100.0,645.63,1602.45,1413.42,551.19,48.393
1,141,0.0005,0.0,100.0,645.06,1601.3,1412.62,551.36,48.101
1,142,0.0026,-0.0001,100.0,644.63,1601.46,1412.82,550.17,48.21
1,143,-0.0032,0.0002,100.0,644.74,1600.91,1411.79,551.65,48.127
1,144,0.0004,-0.0,100.0,645.52,1601.43,1413.19,550.96,48.113
1,145,0.0005,-0.0002,100.0,645.65,1602.02,1413.43,551.31,48.243
1,146,0.0016,-0.0001,100.0,645.16,1599.48,1413.46,550.65,48.106
1,147,-0.0025,0.0001,100.0,645.88,1600.07,1413.67,551.12,48.181
1,148,-0.0026,-0.0001,100.0,644.88,1602.94,1412.51,550.6,48.195
1,149,0.001,-0.0002,100.0,645.63,1602.3,1413.77,550.71,48.084
1,150,0.0006,0.0,100.0,645.14,1601.94,1412.92,551.45,48.291
1,151,0.0005,0.0,100.0,645.43,1602.33,1413.06,550.8,48.159
1,152,0.0007,-0.0001,100.0,645.77,1602.89,1413.9,550.9,48.097
1,153,-0.0014,-0.0001,100.0,645.39,1601.8,1413.85,551.07,48.26
1,154,0.0005,0.0,100.0,645.64,1601.59,1413.2,550.94,48.095
1,155,0.0006,-0.0003,100.0,646.3,1603.03,1414.75,550.82,48.214
1,156,-0.0014,-0.0003,100.0,645.62,1601.53,1413.43,550.86,48.218
1,157,0.0037,-0.0001,100.0,646.28,1603.55,1415.35,551.45,48.357
1,158,0.0009,-0.0,100.0,645.43,1600.74,1412.85,550.69,48.291
1,159,-0.0024,0.0001,100.0,646.21,1604.65,1414.47,550.75,48.239
1,160,0.0013,0.0003,100.0,646.65,1603.99,1415.6,550.98,48.348
1,161,-0.0019,0.0002,100.0,644.92,1603.81,1413.82,550.98,48.425
1,162,0.0016,-0.0,100.0,645.7,1604.95,1414.14,550.98,48.333
1,163,0.0023,-0.0,100.0,646.35,1606.04,1414.85,550.8,48.275
1,164,-0.0016,-0.0002,100.0,646.03,1605.24,1415.67,550.24,48.199
1,165,0.0019,-0.0,100.0,646.32,1601.27,1414.46,551.05,48.33
1,166,0.0008,-0.0001,100.0,645.92,1602.18,1413.57,550.2,48.523
1,167,0.0016,0.0001,100.0,646.26,1603.23,1415.41,550.61,48.588
1,168,0.0038,-0.0002,100.0,646.18,1604.29,1414.88,550.27,48.74
1,169,-0.0005,0.0001,100.0,646.81,1605.12,1415.55,550.46,48.871
1,170,-0.0015,0.0003,100.0,646.43,1603.42,1415.92,550.56,49.029
1,171,-0.0018,-0.0,100.0,646.5,1604.87,1415.84,550.53,49.059
1,172,-0.0016,0.0001,100.0,646.19,1603.59,1415.05,550.54,49.227
1,173,-0.0002,0.0001,100.0,646.19,1603.92,1414.74,550.88,49.278
1,174,0.0007,-0.0001,100.0,646.24,1602.85,1415.93,550.51,49.135
1,175,0.0006,0.0,100.0,646.65,1603.67,1416.44,550.28,49.361
1,176,0.0017,0.0,100.0,646.31,1603.14,1415.63,550.62,49.558
1,177,0.0,0.0,100.0,646.66,1603.81,1417.14,550.67,49.531
1,178,0.0029,-0.0002,100.0,647.5,1606.99,1416.91,549.92,49.85
1,179,-0.0005,0.0,100.0,646.99,1604.07,1416.01,550.45,50.063
1,180,0.0054,0.0001,100.0,646.48,1609.64,1415.76,550.46,50.128
1,181,0.0013,0.0003,100.0,647.2,1606.49,1417.14,550.14,50.057
1,182,-0.0017,0.0002,100.0,646.5,1606.14,1416.35,550.62,50.363
1,183,-0.0021,0.0004,100.0,645.8,1604.64,1415.18,550.14,50.304
1,184,0.001,-0.0002,100.0,646.3,1607.17,1416.22,550.2,50.347
1,185,-0.0004,0.0002,100.0,645.94,1605.3,1414.96,550.09,50.415
1,186,0.0014,0.0,100.0,646.65,1606.5,1417.35,550.13,50.554
1,187,0.0009,0.0004,100.0,646.85,1610.44,1416.91,549.78,50.646
1,188,-0.0001,-0.0002,100.0,647.63,1606.39,1418.65,549.65,50.814
1,189,-0.0017,-0.0002,100.0,647.05,1608.47,1417.5,550.54,50.915
1,190,-0.003,-0.0001,100.0,646.84,1605.65,1417.31,549.79,50.997
1,191,-0.0009,-0.0004,100.0,647.34,1606.83,1418.11,549.72,51.151
1,192,0.0017,-0.0001,100.0,646.0,1609.83,1416.22,549.35,51.343
2,1,0.0019,-0.0002,100.0,640.95,1585.27,1399.71,554.13,47.216
2,2,-0.003,-0.0001,100.0,640.83,1585.76,1400.55,554.23,47.013
2,3,-0.0051,0.0002,100.0,640.17,1585.38,1398.3,553.76,47.043
2,4,0.0019,-0.0001,100.0,641.42,1585.18,1401.12,553.58,47.104
2,5,-0.0027,-0.0001,100.0,640.62,1585.38,1399.49,553.62,46.874
2,6,-0.0004,-0.0002,100.0,641.23,1584.93,1400.37,553.77,47.236
2,7,-0.0023,0.0001,100.0,642.08,1585.8,1402.13,553.8,47.061
2,8,-0.0036,0.0004,100.0,640.75,1586.0,1400.07,553.66,47.238
2,9,0.0011,-0.0002,100.0,640.05,1585.49,1399.24,553.49,46.959
2,10,0.0015,0.0,100.0,641.08,1585.56,1400.91,553.72,47.27
2,11,-0.0012,0.0003,100.0,641.73,1585.96,1401.2,553.9,47.151
2,12,-0.0052,-0.0,100.0,642.13,1585.72,1401.65,554.01,47.129
2,13,-0.0011,0.0001,100.0,640.72,1585.97,1399.47,553.65,47.096
2,14,0.0008,-0.0002,100.0,641.52,1587.04,1400.75,553.68,47.043
2,15,-0.003,0.0001,100.0,641.1,1586.04,1402.08,553.51,47.222
2,16,0.0004,-0.0,100.0,641.29,1586.06,1401.53,553.77,47.1
2,17,-0.0,0.0002,100.0,642.55,1586.0,1402.03,553.51,46.853
2,18,0.0012,0.0002,100.0,640.7,1586.73,1399.48,553.92,46.96
2,19,0.0002,0.0005,100.0,641.51,1586.37,1401.55,553.2,47.077
2,20,-0.0019,0.0001,100.0,641.63,1586.22,1401.78,553.61,47.142
2,21,0.0024,0.0001,100.0,641.93,1587.25,1402.23,553.8,47.103
2,22,-0.0003,0.0,100.0,641.5,1587.38,1401.26,553.75,47.261
2,23,-0.0001,-0.0001,100.0,641.62,1586.47,1401.53,554.49,46.886
2,24,-0.0019,0.0001,100.0,641.33,1585.91,1401.38,553.77,47.143
2,25,-0.0009,-0.0001,100.0,641.64,1587.42,1401.72,553.35,46.913
2,26,-0.0018,0.0,100.0,641.39,1586.64,1400.25,553.61,47.227
2,27,-0.0003,0.0003,100.0,641.84,1587.48,1401.91,553.09,47.13
2,28,0.0034,-0.0002,100.0,641.42,1586.13,1401.04,553.59,47.197
2,29,-0.0027,0.0002,100.0,641.78,1587.69,1402.09,553.35,47.048
2,30,-0.0032,0.0003,100.0,641.61,1586.66,1403.29,553.86,47.31
2,31,0.0029,-0.0,100.0,642.15,1587.76,1402.77,553.4,47.287
2,32,-0.0004,-0.0004,100.0,641.65,1587.46,1401.76,553.52,47.237
2,33,-0.0013,-0.0001,100.0,640.89,1587.02,1401.34,553.35,47.157
2,34,0.0021,0.0003,100.0,642.28,1587.39,1403.1,554.05,47.247
2,35,-0.0012,-0.0,100.0,641.32,1588.06,1401.76,553.42,47.098
2,36,0.0037,-0.0002,100.0,641.46,1587.82,1402.08,554.05,47.291
2,37,0.0014,-0.0001,100.0,641.51,1588.16,1402.9,553.73,47.391
2,38,-0.001,0.0002,100.0,642.41,1589.02,1402.6,553.62,47.327
2,39,0.0043,0.0001,100.0,640.85,1587.11,1401.25,553.57,47.116
2,40,-0.0012,-0.0,100.0,643.25,1588.98,1403.94,553.56,47.252
2,41,0.0015,-0.0001,100.0,642.33,1588.2,1403.43,552.85,47.059
2,42,0.0006,-0.0001,100.0,641.98,1587.7,1402.23,553.33,47.288
2,43,0.0026,-0.0002,100.0,641.87,1587.52,1402.36,553.65,47.279
2,44,0.0031,0.0003,100.0,642.05,1588.26,1402.7,553.37,47.006
2,45,0.0001,-0.0001,100.0,642.18,1588.99,1403.55,552.95,47.096
2,46,-0.0015,0.0002,100.0,642.25,1588.45,1403.65,553.34,47.206
2,47,0.0009,0.0003,100.0,642.23,1589.5,1402.57,553.86,47.21
2,48,-0.0014,0.0002,100.0,642.04,1587.81,1402.99,553.71,47.106
2,49,0.004,-0.0001,100.0,641.94,1588.75,1402.5,553.3,47.303
2,50,0.0003,0.0001,100.0,641.98,1588.07,1402.31,553.59,47.292
2,51,-0.0007,-0.0,100.0,641.98,1589.13,1402.86,553.18,47.243
2,52,0.0004,-0.0002,100.0,642.6,1589.53,1403.72,552.76,47.181
2,53,-0.0027,0.0001,100.0,642.38,1588.8,1404.81,552.98,47.403
2,54,-0.0019,-0.0002,100.0,640.81,1587.51,1401.64,553.72,47.481
2,55,0.0024,0.0002,100.0,642.44,1589.34,1403.05,553.15,47.229
2,56,-0.0013,-0.0001,100.0,642.26,1589.57,1403.24,553.15,47.219
2,57,-0.0021,0.0,100.0,642.18,1589.63,1403.95,553.12,47.357
2,58,0.0011,0.0001,100.0,642.04,1590.24,1404.32,553.76,47.26
2,59,0.0024,-0.0001,100.0,642.74,1588.83,1403.49,553.67,47.292
2,60,0.0014,0.0001,100.0,642.68,1590.04,1403.29,553.83,47.402
2,61,0.002,-0.0001,100.0,641.93,1590.46,1404.15,553.1,47.09
2,62,-0.0015,0.0002,100.0,642.48,1588.58,1404.21,553.22,47.482
2,63,-0.0028,-0.0003,100.0,641.88,1590.04,1402.77,552.67,47.338
2,64,0.003,0.0,100.0,641.72,1589.57,1403.28,553.55,47.285
2,65,-0.0006,0.0004,100.0,642.08,1589.93,1402.23,552.74,47.329
2,66,-0.0005,-0.0002,100.0,642.77,1590.29,1404.55,553.15,47.34
2,67,0.0027,-0.0001,100.0,642.83,1589.8,1404.83,552.74,47.142
2,68,0.0011,0.0001,100.0,642.65,1589.75,1404.9,552.88,47.535
2,69,0.0009,0.0,100.0,642.77,1590.31,1404.13,552.79,47.366
2,70,0.0043,0.0001,100.0,642.7,1589.61,1404.62,552.84,47.419
2,71,-0.0013,0.0001,100.0,642.2,1589.69,1403.44,552.85,47.485
2,72,0.0019,0.0001,100.0,642.7,1591.0,1404.77,552.83,47.254
2,73,0.0001,0.0002,100.0,642.89,1589.79,1404.49,553.23,47.438
2,74,0.0005,0.0001,100.0,642.89,1591.15,1404.76,552.64,47.355
2,75,0.0031,-0.0,100.0,643.1,1591.08,1404.79,553.02,47.494
2,76,0.001,0.0001,100.0,642.91,1589.59,1405.38,553.31,47.142
2,77,0.0011,0.0004,100.0,642.77,1590.41,1405.32,552.77,47.391
2,78,0.0021,-0.0,100.0,643.11,1591.85,1405.28,552.7,47.335
2,79,-0.0007,-0.0002,100.0,642.64,1590.34,1404.79,552.83,47.465
2,80,-0.0017,0.0002,100.0,642.28,1590.79,1403.58,553.24,47.475
2,81,-0.0021,-0.0,100.0,642.62,1591.55,1404.66,552.93,47.338
2,82,-0.0039,-0.0004,100.0,642.38,1591.87,1404.48,552.7,47.343
2,83,0.0041,0.0002,100.0,642.43,1591.17,1405.92,552.99,47.421
2,84,-0.0022,-0.0001,100.0,642.69,1590.99,1404.44,552.5,47.331
2,85,-0.0004,-0.0,100.0,642.42,1592.59,1405.39,553.02,47.545
2,86,-0.0006,0.0001,100.0,642.66,1592.91,1405.52,552.92,47.405
2,87,0.0006,0.0,100.0,641.97,1592.42,1404.23,552.7,47.106
2,88,0.0016,0.0001,100.0,642.94,1591.81,1406.35,552.52,47.415
2,89,0.0017,-0.0001,100.0,642.86,1591.2,1405.58,552.49,47.341
2,90,-0.0012,0.0001,100.0,642.51,1591.25,1405.13,552.91,47.275
2,91,-0.0003,-0.0001,100.0,643.2,1592.38,1405.91,553.1,47.327
2,92,0.0006,0.0001,100.0,643.35,1592.38,1406.79,552.53,47.494
2,93,-0.0005,0.0001,100.0,642.22,1593.23,1405.17,552.84,47.645
2,94,0.0032,-0.0002,100.0,642.62,1592.72,1404.9,552.06,47.529
2,95,0.001,0.0002,100.0,642.64,1591.08,1404.62,552.5,47.424
2,96,0.0015,-0.0001,100.0,642.58,1593.2,1405.12,552.65,47.556
2,97,0.0013,0.0002,100.0,643.4,1591.63,1406.0,552.38,47.452
2,98,0.0023,0.0001,100.0,642.96,1592.2,1405.79,552.35,47.429
2,99,0.0004,0.0004,100.0,642.95,1592.79,1406.45,552.42,47.379
2,100,-0.0026,-0.0,100.0,642.19,1594.3,1404.57,552.69,47.312
2,101,0.0008,-0.0001,100.0,643.4,1595.3,1406.51,552.54,47.481
2,102,-0.0013,-0.0,100.0,642.57,1593.32,1405.43,551.91,47.552
2,103,-0.0011,-0.0001,100.0,643.18,1592.74,1406.71,551.93,47.527
2,104,0.0012,0.0002,100.0,643.3,1593.42,1405.36,552.37,47.494
2,105,0.0025,-0.0003,100.0,643.81,1593.79,1406.92,552.67,47.435
2,106,0.0,-0.0002,100.0,642.63,1592.86,1405.71,551.7,47.627
2,107,0.0006,-0.0002,100.0,641.88,1594.72,1405.19,552.36,47.401
2,108,0.0034,0.0002,100.0,643.34,1593.47,1406.42,552.34,47.658
2,109,0.0005,0.0003,100.0,644.09,1593.78,1406.81,552.9,47.449
2,110,0.0052,-0.0,100.0,643.86,1594.0,1407.76,552.35,47.485
2,111,0.0011,-0.0,100.0,643.41,1593.87,1406.54,552.57,47.404
2,112,-0.0035,0.0,100.0,643.12,1594.31,1405.89,552.48,47.525
2,113,0.0015,0.0002,100.0,643.73,1593.12,1407.05,551.79,47.708
2,114,0.0008,-0.0002,100.0,642.95,1593.25,1406.21,552.64,47.658
2,115,0.0026,0.0,100.0,643.62,1592.85,1406.97,552.46,47.718
2,116,0.0013,0.0002,100.0,643.65,1594.28,1406.24,552.54,47.669
2,117,-0.0003,0.0001,100.0,643.92,1594.66,1408.21,553.55,47.479
2,118,-0.0024,0.0,100.0,644.71,1594.45,1409.53,551.73,47.577
2,119,-0.0004,0.0002,100.0,643.66,1595.62,1407.78,552.86,47.528
2,120,-0.0017,-0.0005,100.0,643.28,1594.19,1406.39,552.24,47.787
2,121,-0.0012,0.0001,100.0,643.52,1594.88,1407.22,552.4,47.489
2,122,0.0012,-0.0001,100.0,642.75,1593.36,1406.27,552.29,47.745
2,123,0.0033,-0.0004,100.0,643.26,1594.07,1407.32,552.16,47.75
2,124,0.0008,0.0001,100.0,643.41,1595.14,1407.6,552.1,47.868
2,125,-0.0024,0.0003,100.0,643.38,1595.37,1406.88,552.36,47.604
2,126,0.0009,-0.0,100.0,643.7,1594.39,1407.77,551.79,47.744
2,127,0.0024,0.0002,100.0,643.28,1594.67,1407.4,552.46,47.938
2,128,-0.0012,0.0003,100.0,644.18,1593.39,1409.19,552.09,47.595
2,129,-0.0003,0.0003,100.0,643.7,1594.55,1408.18,551.86,47.49
2,130,0.0,0.0003,100.0,643.71,1595.81,1408.27,552.05,47.454
2,131,-0.0016,0.0001,100.0,643.59,1595.59,1407.78,552.55,47.77
2,132,0.0013,0.0,100.0,643.83,1595.6,1408.81,552.0,47.464
2,133,-0.0002,-0.0003,100.0,644.15,1595.24,1408.79,552.25,47.65
2,134,0.0008,-0.0,100.0,643.41,1595.28,1407.15,551.91,47.753
2,135,-0.0018,-0.0002,100.0,643.53,1594.71,1408.48,552.35,47.728
2,136,-0.0009,0.0004,100.0,643.71,1596.1,1408.41,552.31,47.762
2,137,0.0014,-0.0,100.0,643.26,1595.91,1407.24,552.65,47.743
2,138,-0.0007,0.0,100.0,643.52,1596.06,1407.62,552.02,47.875
2,139,0.0035,0.0001,100.0,643.69,1595.14,1408.27,552.26,47.612
2,140,-0.0008,0.0,100.0,644.32,1593.61,1409.27,552.08,47.65
2,141,0.0004,0.0003,100.0,644.07,1596.89,1408.82,552.42,47.644
2,142,0.0019,-0.0001,100.0,644.06,1595.41,1408.89,551.81,47.842
2,143,-0.0028,0.0,100.0,644.37,1595.1,1410.05,552.23,47.855
2,144,-0.0035,-0.0001,100.0,643.95,1596.73,1409.18,551.93,47.807
2,145,-0.0031,-0.0003,100.0,644.21,1595.72,1409.14,551.96,47.9
2,146,0.0025,-0.0001,100.0,644.01,1597.26,1409.26,551.99,47.622
2,147,-0.0011,-0.0,100.0,644.19,1596.89,1408.56,552.03,47.968
2,148,0.0051,-0.0001,100.0,643.83,1597.04,1408.8,551.9,47.956
2,149,-0.0011,-0.0001,100.0,643.02,1595.02,1408.41,551.99,47.867
2,150,0.0004,-0.0003,100.0,644.08,1597.74,1408.91,552.38,47.998
