unit_nr,time_cycles,setting_1,setting_2,setting_3,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21
1,14,-0.0037,0.0002,100.0,518.67,640.71,1584.46,1405.67,14.62,21.6,552.77,2387.99,9057.04,1.3,47.18,520.6,2388.02,8123.27,8.483,0.03,393,2388,100.0,38.67,23.2729
1,15,-0.0013,0.0003,100.0,518.67,640.92,1585.59,1403.43,14.62,21.6,552.65,2388.01,9047.92,1.3,47.19,521.34,2388.04,8116.04,8.447,0.03,394,2388,100.0,38.91,23.185
1,16,-0.001,0.0004,100.0,518.67,640.95,1587.33,1404.6,14.62,21.6,553.3,2387.86,9043.64,1.3,47.25,519.79,2388.1,8114.09,8.408,0.03,392,2388,100.0,38.94,23.1865
1,17,0.0023,0.0,100.0,518.67,640.89,1587.45,1402.39,14.62,21.6,553.33,2388.01,9052.86,1.3,47.37,521.17,2387.96,8156.92,8.364,0.03,392,2388,100.0,38.87,23.2698
1,18,-0.0012,-0.0001,100.0,518.67,641.02,1584.36,1405.09,14.62,21.6,552.83,2388.07,9054.52,1.3,47.4,520.66,2387.98,8124.68,8.446,0.03,393,2388,100.0,38.81,23.259
1,19,0.0026,-0.0002,100.0,518.67,641.29,1585.58,1400.91,14.62,21.6,553.7,2388.07,9062.62,1.3,47.3,520.65,2388.0,8135.37,8.421,0.03,392,2388,100.0,38.86,23.2096
1,20,0.0042,-0.0003,100.0,518.67,640.85,1589.72,1405.04,14.62,21.6,553.54,2388.03,9045.11,1.3,47.31,519.93,2388.07,8129.8,8.401,0.03,392,2388,100.0,38.84,23.2197
1,21,-0.0016,0.0001,100.0,518.67,641.23,1584.79,1400.08,14.62,21.6,552.26,2387.96,9046.66,1.3,47.28,520.39,2388.1,8141.93,8.423,0.03,392,2388,100.0,38.72,23.2444
1,22,-0.0006,0.0001,100.0,518.67,640.97,1587.93,1408.19,14.62,21.6,553.32,2388.07,9049.31,1.3,47.34,520.2,2388.03,8122.44,8.429,0.03,393,2388,100.0,38.91,23.2907
1,23,0.0043,-0.0002,100.0,518.67,641.4,1586.99,1410.92,14.62,21.6,552.54,2388.01,9035.64,1.3,47.25,519.78,2388.03,8135.9,8.486,0.03,393,2388,100.0,38.75,23.1952
1,24,0.001,-0.0004,100.0,518.67,641.65,1590.04,1400.37,14.62,21.6,553.81,2388.03,9062.65,1.3,47.12,519.83,2388.03,8132.44,8.418,0.03,393,2388,100.0,38.7,23.2304
1,25,0.0002,0.0002,100.0,518.67,641.37,1583.19,1396.21,14.62,21.6,553.16,2388.0,9065.27,1.3,47.35,520.68,2388.03,8156.68,8.485,0.03,392,2388,100.0,38.86,23.2672
1,26,0.0027,-0.0003,100.0,518.67,641.37,1589.8,1395.4,14.62,21.6,551.69,2388.03,9058.72,1.3,47.53,520.09,2388.11,8115.47,8.383,0.03,392,2388,100.0,38.81,23.2307
1,27,-0.0041,-0.0,100.0,518.67,640.88,1588.7,1404.0,14.62,21.6,552.57,2387.99,9052.59,1.3,47.46,519.52,2388.05,8125.75,8.411,0.03,392,2388,100.0,38.69,23.202
1,28,-0.0024,0.0006,100.0,518.67,641.23,1584.65,1403.48,14.62,21.6,552.7,2388.07,9059.27,1.3,47.28,519.69,2388.02,8104.56,8.391,0.03,394,2388,100.0,38.9,23.2146
1,29,0.0012,0.0001,100.0,518.67,642.0,1590.17,1402.21,14.62,21.6,551.83,2388.06,9047.27,1.3,47.17,519.62,2387.98,8152.51,8.464,0.03,393,2388,100.0,38.88,23.2283
1,30,-0.0017,0.0005,100.0,518.67,641.37,1583.76,1402.05,14.62,21.6,551.92,2388.09,9068.71,1.3,47.17,520.19,2388.0,8126.5,8.421,0.03,392,2388,100.0,38.76,23.1803
1,31,0.0005,-0.0,100.0,518.67,641.18,1584.21,1400.6,14.62,21.6,553.01,2388.0,9054.35,1.3,47.46,519.04,2388.06,8124.47,8.457,0.03,392,2388,100.0,38.61,23.1379
1,32,0.0001,0.0001,100.0,518.67,641.02,1588.92,1396.35,14.62,21.6,551.94,2388.02,9054.05,1.3,47.25,519.64,2388.08,8125.58,8.467,0.03,392,2388,100.0,38.79,23.2887
1,33,-0.0049,-0.0002,100.0,518.67,641.4,1586.45,1404.58,14.62,21.6,552.68,2388.04,9063.12,1.3,47.4,519.97,2388.01,8126.73,8.43,0.03,393,2388,100.0,38.71,23.2286
1,34,0.0042,0.0003,100.0,518.67,641.18,1590.73,1401.56,14.62,21.6,551.98,2387.96,9051.08,1.3,47.38,520.6,2388.05,8130.03,8.469,0.03,391,2388,100.0,38.76,23.25
1,35,-0.003,0.0003,100.0,518.67,641.36,1585.94,1405.81,14.62,21.6,552.65,2388.07,9050.34,1.3,47.27,520.14,2387.99,8133.59,8.431,0.03,393,2388,100.0,38.76,23.2607
1,36,-0.001,-0.0001,100.0,518.67,641.04,1585.92,1404.88,14.62,21.6,551.95,2388.1,9064.97,1.3,47.44,520.63,2388.0,8117.88,8.394,0.03,394,2388,100.0,38.78,23.2035
1,37,0.0006,-0.0003,100.0,518.67,641.9,1587.7,1403.91,14.62,21.6,552.75,2388.07,9047.92,1.3,47.45,520.59,2388.11,8152.01,8.433,0.03,392,2388,100.0,38.72,23.2064
1,38,0.0022,-0.0005,100.0,518.67,641.68,1586.9,1401.85,14.62,21.6,551.42,2388.1,9054.94,1.3,47.23,518.97,2388.02,8153.0,8.442,0.03,392,2388,100.0,38.7,23.1874
1,39,-0.0054,-0.0,100.0,518.67,641.25,1589.53,1411.05,14.62,21.6,552.21,2388.01,9075.06,1.3,47.41,519.59,2388.04,8135.42,8.446,0.03,392,2388,100.0,38.67,23.1968
1,40,-0.0011,-0.0002,100.0,518.67,641.34,1586.74,1409.77,14.62,21.6,552.99,2388.12,9038.0,1.3,47.36,519.36,2387.97,8123.79,8.419,0.03,394,2388,100.0,38.79,23.2594
1,41,0.0014,-0.0003,100.0,518.67,641.19,1589.03,1398.96,14.62,21.6,552.15,2388.05,9060.39,1.3,47.47,519.32,2388.1,8120.23,8.472,0.03,393,2388,100.0,38.68,23.2095
1,42,-0.0025,0.0003,100.0,518.67,641.28,1586.06,1408.13,14.62,21.6,551.4,2387.99,9059.66,1.3,47.25,520.35,2387.94,8153.64,8.461,0.03,393,2388,100.0,38.66,23.2106
1,43,-0.0001,0.0003,100.0,518.67,641.36,1588.14,1402.58,14.62,21.6,552.39,2387.98,9044.14,1.3,47.52,519.52,2388.04,8133.58,8.466,0.03,392,2388,100.0,38.64,23.1978
1,44,-0.002,0.0001,100.0,518.67,640.92,1590.84,1406.02,14.62,21.6,552.76,2388.15,9063.16,1.3,47.19,518.76,2388.01,8133.75,8.473,0.03,392,2388,100.0,38.71,23.1476
1,45,-0.0012,-0.0004,100.0,518.67,641.12,1583.76,1400.32,14.62,21.6,551.56,2388.2,9059.1,1.3,47.46,518.93,2388.08,8126.61,8.462,0.03,395,2388,100.0,38.68,23.2403
1,46,-0.0014,-0.0,100.0,518.67,641.8,1585.99,1411.56,14.62,21.6,551.75,2388.1,9063.05,1.3,47.52,518.54,2388.01,8130.62,8.458,0.03,393,2388,100.0,38.7,23.1134
1,47,0.0008,0.0002,100.0,518.67,641.51,1591.18,1407.74,14.62,21.6,552.0,2387.99,9058.82,1.3,47.47,519.42,2387.99,8120.7,8.493,0.03,393,2388,100.0,38.73,23.179
1,48,0.0001,0.0003,100.0,518.67,641.25,1588.29,1402.65,14.62,21.6,551.81,2388.09,9051.67,1.3,47.61,518.8,2388.04,8128.47,8.506,0.03,393,2388,100.0,38.76,23.1007
1,49,0.0005,0.0003,100.0,518.67,641.4,1591.26,1402.52,14.62,21.6,553.34,2388.06,9052.05,1.3,47.64,520.0,2388.02,8128.79,8.455,0.03,392,2388,100.0,38.6,23.1222
1,50,-0.0015,-0.0,100.0,518.67,641.45,1592.78,1400.69,14.62,21.6,551.79,2388.08,9061.13,1.3,47.31,519.37,2388.06,8139.82,8.474,0.03,395,2388,100.0,38.61,23.1432
1,51,-0.0012,-0.0002,100.0,518.67,641.24,1591.75,1410.46,14.62,21.6,551.38,2388.1,9051.43,1.3,47.55,519.24,2387.98,8152.55,8.52,0.03,393,2388,100.0,38.63,23.1815
1,52,0.0007,0.0002,100.0,518.67,641.91,1587.72,1401.68,14.62,21.6,551.39,2388.08,9070.31,1.3,47.4,519.22,2388.05,8148.32,8.544,0.03,393,2388,100.0,38.62,23.2168
1,53,0.0014,0.0006,100.0,518.67,641.56,1587.23,1407.33,14.62,21.6,552.28,2388.11,9064.61,1.3,47.63,519.76,2388.09,8132.14,8.473,0.03,394,2388,100.0,38.59,23.1804
1,54,-0.0008,0.0,100.0,518.67,641.74,1588.95,1405.25,14.62,21.6,552.2,2388.12,9073.49,1.3,47.44,519.14,2388.07,8153.15,8.467,0.03,393,2388,100.0,38.7,23.1687
1,55,-0.0009,0.0001,100.0,518.67,641.7,1585.36,1405.69,14.62,21.6,552.43,2388.01,9051.83,1.3,47.54,519.78,2388.05,8127.63,8.528,0.03,392,2388,100.0,38.47,23.1788
1,56,-0.001,-0.0003,100.0,518.67,641.61,1589.23,1402.99,14.62,21.6,552.19,2388.12,9055.62,1.3,47.73,518.42,2387.98,8126.07,8.472,0.03,393,2388,100.0,38.62,23.1718
1,57,-0.0025,0.0004,100.0,518.67,641.42,1591.91,1406.71,14.62,21.6,551.97,2388.11,9061.67,1.3,47.67,519.02,2388.09,8133.38,8.517,0.03,393,2388,100.0,38.78,23.1496
1,58,-0.0029,0.0,100.0,518.67,641.28,1591.15,1402.83,14.62,21.6,550.45,2388.07,9037.25,1.3,47.3,519.27,2388.1,8139.64,8.447,0.03,393,2388,100.0,38.63,23.091
1,59,0.003,0.0003,100.0,518.67,641.41,1588.77,1406.36,14.62,21.6,551.39,2388.06,9048.75,1.3,47.47,519.75,2388.09,8127.76,8.494,0.03,394,2388,100.0,38.7,23.1493
1,60,-0.0013,0.0002,100.0,518.67,641.57,1591.44,1408.17,14.62,21.6,551.18,2388.16,9058.46,1.3,47.78,518.47,2388.15,8137.06,8.459,0.03,393,2388,100.0,38.59,23.165
1,61,0.001,-0.0002,100.0,518.67,641.47,1595.24,1412.63,14.62,21.6,551.48,2388.1,9061.9,1.3,47.38,518.65,2387.98,8139.56,8.499,0.03,393,2388,100.0,38.74,23.0799
1,62,-0.0029,0.0001,100.0,518.67,641.75,1593.93,1403.98,14.62,21.6,551.39,2388.09,9064.17,1.3,47.61,517.95,2388.14,8151.4,8.462,0.03,394,2388,100.0,38.65,23.1516
1,63,-0.0011,-0.0002,100.0,518.67,641.49,1592.46,1408.08,14.62,21.6,551.84,2387.96,9066.41,1.3,47.3,518.52,2388.01,8119.39,8.517,0.03,393,2388,100.0,38.63,23.1336
1,64,0.001,0.0,100.0,518.67,641.18,1591.99,1404.02,14.62,21.6,551.08,2388.18,9064.14,1.3,47.49,518.49,2388.05,8159.92,8.495,0.03,394,2388,100.0,38.68,23.1453
1,65,-0.0005,-0.0001,100.0,518.67,641.49,1588.95,1409.0,14.62,21.6,551.73,2388.1,9058.08,1.3,47.28,519.09,2388.09,8147.05,8.398,0.03,395,2388,100.0,38.58,23.1861
1,66,-0.0021,0.0002,100.0,518.67,641.25,1587.25,1413.84,14.62,21.6,551.38,2388.15,9061.53,1.3,47.56,518.78,2388.19,8134.46,8.492,0.03,394,2388,100.0,38.68,23.1875
1,67,0.0013,-0.0003,100.0,518.67,641.93,1585.75,1407.49,14.62,21.6,551.17,2388.12,9060.25,1.3,47.6,519.36,2388.09,8132.3,8.516,0.03,394,2388,100.0,38.49,23.1554
1,68,0.0014,-0.0001,100.0,518.67,641.88,1588.8,1406.88,14.62,21.6,551.18,2388.05,9046.27,1.3,47.76,518.1,2388.02,8109.47,8.469,0.03,392,2388,100.0,38.71,23.1734
1,69,-0.0014,0.0007,100.0,518.67,641.78,1588.34,1396.47,14.62,21.6,550.29,2388.03,9066.09,1.3,47.88,519.18,2388.1,8142.53,8.515,0.03,394,2388,100.0,38.6,23.1255
1,70,-0.0001,-0.0002,100.0,518.67,641.48,1584.3,1406.17,14.62,21.6,550.42,2388.12,9069.16,1.3,47.68,517.66,2388.02,8146.76,8.462,0.03,393,2388,100.0,38.62,23.0693
1,71,0.0002,-0.0004,100.0,518.67,641.4,1590.4,1400.28,14.62,21.6,551.03,2388.14,9059.93,1.3,47.75,518.47,2388.05,8137.01,8.509,0.03,394,2388,100.0,38.57,23.08
1,72,-0.0013,-0.0004,100.0,518.67,642.0,1585.77,1403.98,14.62,21.6,551.54,2388.1,9068.23,1.3,47.49,518.51,2388.03,8161.37,8.458,0.03,394,2388,100.0,38.61,23.1332
1,73,-0.0004,-0.0,100.0,518.67,641.58,1589.12,1410.7,14.62,21.6,550.62,2388.05,9057.66,1.3,47.92,517.94,2388.16,8155.84,8.478,0.03,394,2388,100.0,38.69,23.0909
1,74,-0.0004,-0.0002,100.0,518.67,641.32,1587.68,1402.04,14.62,21.6,550.45,2388.13,9046.03,1.3,47.63,518.72,2387.98,8140.27,8.533,0.03,393,2388,100.0,38.69,23.1282
1,75,-0.0014,-0.0,100.0,518.67,641.73,1589.92,1409.19,14.62,21.6,550.98,2388.05,9057.7,1.3,47.47,517.9,2388.14,8148.96,8.516,0.03,393,2388,100.0,38.52,23.1653
1,76,0.0003,0.0007,100.0,518.67,641.69,1590.33,1405.89,14.62,21.6,550.74,2388.15,9066.36,1.3,47.49,517.56,2387.99,8142.03,8.466,0.03,392,2388,100.0,38.57,23.2267
1,77,-0.0,0.0003,100.0,518.67,641.62,1589.52,1410.9,14.62,21.6,550.95,2388.14,9053.48,1.3,47.73,518.11,2388.04,8142.45,8.473,0.03,394,2388,100.0,38.54,23.1538
1,78,0.0009,-0.0,100.0,518.67,641.81,1594.05,1409.54,14.62,21.6,549.96,2388.07,9056.5,1.3,47.53,518.06,2388.08,8142.45,8.499,0.03,394,2388,100.0,38.54,22.9981
1,79,-0.0019,-0.0,100.0,518.67,641.31,1591.74,1413.53,14.62,21.6,550.58,2388.2,9060.24,1.3,47.57,517.81,2388.07,8131.51,8.508,0.03,394,2388,100.0,38.53,23.1161
1,80,0.0024,0.0003,100.0,518.67,641.25,1582.34,1411.24,14.62,21.6,550.53,2388.07,9044.75,1.3,47.69,518.46,2388.05,8105.16,8.488,0.03,394,2388,100.0,38.41,23.1008
1,81,-0.0,0.0002,100.0,518.67,641.66,1587.14,1412.38,14.62,21.6,550.61,2388.08,9055.73,1.3,47.51,517.96,2388.17,8119.87,8.457,0.03,395,2388,100.0,38.5,23.0556
1,82,0.0021,-0.0002,100.0,518.67,642.1,1592.16,1405.74,14.62,21.6,550.22,2388.17,9061.79,1.3,47.8,518.79,2388.09,8127.37,8.521,0.03,393,2388,100.0,38.68,23.0933
1,83,-0.0007,0.0001,100.0,518.67,641.31,1587.27,1412.58,14.62,21.6,549.91,2388.16,9069.0,1.3,47.73,518.47,2388.05,8119.42,8.553,0.03,393,2388,100.0,38.49,23.1503
1,84,0.0011,0.0001,100.0,518.67,642.2,1588.32,1411.59,14.62,21.6,550.66,2388.21,9063.69,1.3,47.71,518.47,2388.07,8126.49,8.478,0.03,392,2388,100.0,38.67,23.0261
1,85,-0.0004,-0.0001,100.0,518.67,641.74,1592.76,1411.41,14.62,21.6,550.36,2388.15,9057.75,1.3,47.85,518.15,2388.13,8144.6,8.546,0.03,394,2388,100.0,38.4,23.0986
1,86,-0.0013,-0.0002,100.0,518.67,641.82,1594.09,1408.15,14.62,21.6,551.44,2388.15,9080.67,1.3,47.72,516.98,2388.13,8141.29,8.551,0.03,394,2388,100.0,38.49,23.0148
1,87,-0.0004,-0.0003,100.0,518.67,641.53,1592.2,1414.84,14.62,21.6,549.66,2388.16,9069.54,1.3,47.57,517.76,2388.09,8127.38,8.533,0.03,394,2388,100.0,38.53,23.0291
1,88,-0.0009,0.0002,100.0,518.67,641.59,1595.68,1406.65,14.62,21.6,550.89,2388.07,9046.0,1.3,47.46,518.42,2388.06,8167.57,8.498,0.03,394,2388,100.0,38.61,23.1711
1,89,0.0041,0.0004,100.0,518.67,641.95,1592.34,1411.46,14.62,21.6,549.8,2388.14,9058.84,1.3,47.6,518.1,2388.14,8138.01,8.56,0.03,393,2388,100.0,38.47,23.0324
1,90,-0.0037,-0.0,100.0,518.67,641.67,1595.17,1410.96,14.62,21.6,551.36,2388.2,9064.97,1.3,47.64,517.24,2388.08,8150.1,8.574,0.03,395,2388,100.0,38.44,23.0096
1,91,0.0003,-0.0005,100.0,518.67,641.79,1590.24,1406.67,14.62,21.6,550.52,2388.12,9051.07,1.3,47.3,517.67,2388.18,8157.04,8.505,0.03,393,2388,100.0,38.51,23.0131
1,92,0.0006,0.0002,100.0,518.67,642.03,1590.45,1407.81,14.62,21.6,549.67,2388.13,9063.48,1.3,47.8,517.24,2388.17,8133.93,8.519,0.03,393,2388,100.0,38.27,23.1046
1,93,0.0015,-0.0001,100.0,518.67,641.74,1592.36,1402.47,14.62,21.6,550.6,2388.08,9063.0,1.3,47.51,517.84,2388.1,8117.88,8.556,0.03,393,2388,100.0,38.4,23.0678
1,94,0.0023,-0.0003,100.0,518.67,641.75,1592.16,1411.58,14.62,21.6,549.86,2388.11,9061.46,1.3,47.55,516.11,2388.12,8148.19,8.452,0.03,393,2388,100.0,38.51,23.1581
1,95,0.0,-0.0002,100.0,518.67,641.7,1595.06,1406.32,14.62,21.6,549.75,2388.1,9061.87,1.3,47.91,517.7,2388.09,8133.92,8.477,0.03,395,2388,100.0,38.45,23.0436
1,96,0.0064,0.0001,100.0,518.67,641.56,1589.72,1413.59,14.62,21.6,549.14,2388.2,9055.65,1.3,47.94,518.04,2388.08,8152.87,8.527,0.03,395,2388,100.0,38.49,23.0077
1,97,-0.0013,0.0003,100.0,518.67,641.67,1589.85,1405.27,14.62,21.6,551.2,2388.1,9061.31,1.3,47.89,517.42,2388.12,8124.83,8.539,0.03,394,2388,100.0,38.52,23.1068
1,98,0.0052,0.0002,100.0,518.67,641.85,1591.71,1407.77,14.62,21.6,549.74,2388.16,9071.77,1.3,47.58,518.0,2388.17,8136.24,8.464,0.03,394,2388,100.0,38.54,23.0436
1,99,-0.002,-0.0002,100.0,518.67,641.98,1592.83,1408.33,14.62,21.6,549.64,2388.11,9074.27,1.3,47.67,518.0,2388.18,8149.71,8.516,0.03,394,2388,100.0,38.43,22.997
1,100,0.0006,-0.0004,100.0,518.67,642.08,1589.86,1410.18,14.62,21.6,549.68,2388.19,9057.66,1.3,47.83,516.68,2388.11,8161.08,8.5,0.03,394,2388,100.0,38.47,23.0486
1,101,0.0007,0.0001,100.0,518.67,641.95,1594.64,1411.11,14.62,21.6,550.2,2388.25,9060.51,1.3,47.6,517.87,2388.1,8111.82,8.557,0.03,394,2388,100.0,38.42,23.0536
1,102,0.0004,0.0002,100.0,518.67,641.69,1592.91,1408.52,14.62,21.6,550.12,2388.11,9070.38,1.3,47.66,517.69,2388.12,8160.03,8.526,0.03,394,2388,100.0,38.42,23.0192
1,103,0.0016,-0.0005,100.0,518.67,641.54,1588.23,1413.46,14.62,21.6,549.65,2388.15,9062.36,1.3,47.89,516.78,2388.12,8149.75,8.549,0.03,394,2388,100.0,38.5,22.8966
1,104,0.0014,-0.0002,100.0,518.67,641.35,1593.03,1415.24,14.62,21.6,550.24,2388.24,9072.44,1.3,47.95,517.58,2388.11,8118.9,8.528,0.03,393,2388,100.0,38.59,23.0204
1,105,0.0002,0.0002,100.0,518.67,641.83,1596.65,1407.35,14.62,21.6,549.18,2388.1,9057.14,1.3,47.74,516.96,2388.07,8121.33,8.534,0.03,393,2388,100.0,38.47,23.0307
1,106,-0.0029,-0.0001,100.0,518.67,641.64,1592.58,1415.3,14.62,21.6,549.65,2388.16,9067.52,1.3,47.78,516.76,2388.09,8128.73,8.57,0.03,394,2388,100.0,38.56,23.0209
1,107,-0.0014,-0.0005,100.0,518.67,641.39,1586.94,1411.1,14.62,21.6,548.59,2388.21,9058.4,1.3,47.78,517.91,2388.16,8135.14,8.513,0.03,393,2388,100.0,38.34,23.0108
1,108,-0.002,-0.0,100.0,518.67,641.86,1591.08,1407.52,14.62,21.6,549.77,2388.11,9073.66,1.3,47.75,517.07,2388.15,8141.24,8.569,0.03,394,2388,100.0,38.34,23.0368
1,109,-0.0023,0.0,100.0,518.67,641.84,1591.19,1409.7,14.62,21.6,549.13,2388.17,9063.77,1.3,47.63,517.66,2388.07,8150.15,8.555,0.03,394,2388,100.0,38.53,22.9565
1,110,0.0018,0.0003,100.0,518.67,641.69,1596.05,1409.31,14.62,21.6,549.57,2388.17,9069.09,1.3,47.88,516.12,2388.18,8118.64,8.574,0.03,395,2388,100.0,38.3,22.993
1,111,-0.0022,-0.0001,100.0,518.67,641.79,1594.28,1415.65,14.62,21.6,549.04,2388.16,9049.25,1.3,47.67,517.44,2388.2,8123.86,8.527,0.03,394,2388,100.0,38.4,22.9705
1,112,0.0008,-0.0001,100.0,518.67,641.87,1593.64,1410.53,14.62,21.6,549.27,2388.17,9059.87,1.3,47.75,517.72,2388.14,8135.2,8.567,0.03,394,2388,100.0,38.47,23.0268
1,113,-0.0002,0.0001,100.0,518.67,641.49,1588.68,1405.82,14.62,21.6,550.33,2388.29,9068.05,1.3,47.85,515.98,2388.09,8129.37,8.529,0.03,394,2388,100.0,38.33,22.9068
1,114,0.0015,-0.0003,100.0,518.67,641.95,1598.35,1407.01,14.62,21.6,549.08,2388.23,9078.73,1.3,47.63,517.09,2388.1,8137.63,8.628,0.03,393,2388,100.0,38.39,23.0265
1,115,0.0022,0.0,100.0,518.67,641.98,1591.01,1411.86,14.62,21.6,549.58,2388.16,9066.19,1.3,47.8,517.37,2388.12,8117.71,8.588,0.03,394,2388,100.0,38.31,22.9707
1,116,0.0027,-0.0006,100.0,518.67,642.69,1595.42,1411.77,14.62,21.6,549.34,2388.21,9068.45,1.3,47.88,516.82,2388.11,8137.25,8.545,0.03,395,2388,100.0,38.4,22.8509
1,117,0.0013,0.0001,100.0,518.67,641.91,1591.15,1415.47,14.62,21.6,548.66,2388.2,9055.63,1.3,47.63,516.42,2388.16,8150.58,8.568,0.03,395,2388,100.0,38.39,22.9632
1,118,0.0009,0.0002,100.0,518.67,642.11,1595.94,1413.9,14.62,21.6,549.73,2388.18,9056.47,1.3,47.79,516.33,2388.09,8137.48,8.53,0.03,394,2388,100.0,38.2,23.0034
1,119,0.0,-0.0002,100.0,518.67,642.09,1595.25,1404.73,14.62,21.6,548.58,2388.14,9070.27,1.3,47.79,516.53,2388.02,8146.92,8.518,0.03,395,2388,100.0,38.36,23.0581
1,120,-0.0026,-0.0009,100.0,518.67,641.98,1597.9,1416.21,14.62,21.6,548.71,2388.23,9055.96,1.3,47.89,516.88,2388.18,8172.49,8.568,0.03,394,2388,100.0,38.34,22.899
1,121,-0.0014,-0.0001,100.0,518.67,641.81,1593.02,1408.05,14.62,21.6,548.96,2388.19,9061.24,1.3,47.85,517.0,2388.08,8131.56,8.548,0.03,393,2388,100.0,38.27,22.9611
1,122,0.0017,0.0001,100.0,518.67,642.0,1595.18,1410.89,14.62,21.6,548.85,2388.2,9059.32,1.3,47.52,516.48,2388.2,8150.65,8.588,0.03,396,2388,100.0,38.34,22.9922
1,123,-0.0012,-0.0001,100.0,518.67,642.11,1596.3,1410.97,14.62,21.6,548.88,2388.22,9052.54,1.3,47.54,516.24,2388.07,8133.51,8.556,0.03,394,2388,100.0,38.44,22.996
1,124,0.0006,0.0002,100.0,518.67,641.68,1595.87,1411.32,14.62,21.6,548.19,2388.12,9070.75,1.3,47.89,516.03,2388.09,8153.19,8.526,0.03,396,2388,100.0,38.25,23.009
1,125,-0.0007,0.0002,100.0,518.67,641.84,1592.32,1411.88,14.62,21.6,549.24,2388.17,9062.49,1.3,47.72,515.16,2388.12,8168.72,8.586,0.03,395,2388,100.0,38.29,22.9756
1,126,0.0011,-0.0004,100.0,518.67,642.26,1595.02,1414.69,14.62,21.6,548.76,2388.23,9069.17,1.3,47.81,516.12,2388.14,8158.43,8.527,0.03,393,2388,100.0,38.32,22.9744
1,127,0.0003,0.0001,100.0,518.67,641.94,1597.41,1405.5,14.62,21.6,548.65,2388.12,9063.15,1.3,48.08,516.38,2388.14,8124.8,8.547,0.03,394,2388,100.0,38.28,23.0334
1,128,0.0011,-0.0003,100.0,518.67,642.06,1594.49,1416.56,14.62,21.6,548.06,2388.16,9054.61,1.3,47.84,516.57,2388.18,8139.09,8.557,0.03,395,2388,100.0,38.23,23.0711
1,129,-0.0032,0.0001,100.0,518.67,642.51,1593.08,1411.33,14.62,21.6,548.52,2388.27,9047.09,1.3,48.07,515.58,2388.12,8134.93,8.586,0.03,393,2388,100.0,38.33,23.0653
