coil_id,seq,roll_set,furnace_temp_c,rolling_force_ton,roll_gap_mm,exit_thickness_mm,coiler_tension_kn,motor_current_a
C0004,30,1,1231.7,1069.4,2.526,2.302,56.2,1757.0
C0005,1,1,1229.3,1070.6,2.542,2.291,57.7,1761.5
C0005,2,1,1232.7,1090.6,2.523,2.311,58.5,1744.7
C0005,3,1,1235.0,1071.2,2.536,2.297,57.7,1751.6
C0005,4,1,1231.3,1068.4,2.557,2.305,58.9,1798.2
C0005,5,1,1227.7,1074.4,2.534,2.303,56.9,1759.7
C0005,6,1,1227.6,1069.0,2.54,2.296,59.4,1776.6
C0005,7,1,1233.3,1093.8,2.54,2.302,58.0,1780.3
C0005,8,1,1229.6,1058.3,2.528,2.306,57.3,1764.2
C0005,9,1,1232.0,1070.1,2.544,2.293,58.5,1771.5
C0005,10,1,1232.7,1076.0,2.535,2.299,56.8,1768.9
C0005,11,1,1228.6,1068.1,2.537,2.288,57.6,1772.4
C0005,12,1,1233.2,1064.0,2.524,2.3,58.1,1788.9
C0005,13,1,1234.5,1087.3,2.548,2.311,58.4,1759.7
C0005,14,1,1231.7,1077.2,2.522,2.294,58.3,1759.5
C0005,15,1,1232.0,1067.1,2.532,2.313,58.8,1792.1
C0005,16,1,1233.7,1080.7,2.53,2.294,58.1,1771.7
C0005,17,1,1230.8,1083.4,2.53,2.311,58.5,1794.5
C0005,18,1,1235.8,1078.9,2.543,2.301,59.6,1763.8
C0005,19,1,1232.8,1072.5,2.526,2.316,58.6,1774.5
C0005,20,1,1224.0,1078.7,2.526,2.297,58.4,1761.5
C0005,21,1,1234.0,1067.0,2.523,2.306,56.4,1773.0
C0005,22,1,1234.8,1063.2,2.52,2.311,55.4,1765.0
C0005,23,1,1232.7,1076.3,2.534,2.291,58.2,1768.1
C0005,24,1,1230.4,1094.8,2.546,2.293,57.4,1761.5
C0005,25,1,1229.4,1073.4,2.526,2.303,58.5,1781.3
C0005,26,1,1232.1,1055.9,2.541,2.318,57.1,1768.7
C0005,27,1,1233.4,1084.5,2.526,2.293,58.9,1761.7
C0005,28,1,1234.2,1074.4,2.54,2.311,57.5,1762.0
C0005,29,1,1231.1,1073.9,2.517,2.305,57.5,1781.6
C0005,30,1,1234.0,1075.5,2.52,2.299,59.4,1743.5
C0006,1,1,1235.1,1086.8,2.541,2.306,56.0,1777.6
C0006,2,1,1236.3,1092.5,2.53,2.307,57.0,1786.2
C0006,3,1,1233.9,1096.8,2.512,2.302,57.1,1786.4
C0006,4,1,1240.0,1092.1,2.532,2.316,59.1,1771.3
C0006,5,1,1235.9,1073.8,2.541,2.305,58.0,1765.3
C0006,6,1,1236.1,1090.6,2.52,2.271,58.3,1751.4
C0006,7,1,1235.5,1108.5,2.51,2.307,55.9,1773.9
C0006,8,1,1237.3,1086.8,2.534,2.303,56.7,1743.7
C0006,9,1,1232.1,1087.6,2.519,2.297,59.1,1779.8
C0006,10,1,1230.3,1085.3,2.513,2.298,56.1,1746.2
C0006,11,1,1234.5,1084.7,2.517,2.303,59.5,1799.9
C0006,12,1,1238.6,1088.9,2.516,2.293,58.4,1746.8
C0006,13,1,1235.1,1083.2,2.529,2.299,58.7,1790.7
C0006,14,1,1238.0,1075.9,2.488,2.29,58.8,1797.9
C0006,15,1,1234.7,1083.7,2.524,2.291,57.7,1757.5
C0006,16,1,1238.2,1076.8,2.519,2.3,57.9,1776.0
C0006,17,1,1229.3,1100.4,2.515,2.292,58.1,1781.1
C0006,18,1,1235.9,1081.5,2.523,2.295,59.1,1777.6
C0006,19,1,1230.9,1085.0,2.549,2.3,57.9,1773.4
C0006,20,1,1235.8,1089.7,2.529,2.31,59.7,1767.1
C0006,21,1,1234.1,1082.6,2.538,2.302,59.6,1769.2
C0006,22,1,1238.0,1082.5,2.539,2.299,59.7,1779.8
C0006,23,1,1236.1,1080.4,2.52,2.298,57.9,1749.7
C0006,24,1,1235.6,1092.2,2.521,2.308,59.5,1768.1
C0006,25,1,1232.0,1085.1,2.511,2.307,58.1,1771.9
C0006,26,1,1238.0,1079.9,2.527,2.295,57.0,1752.7
C0006,27,1,1239.1,1064.4,2.538,2.296,58.3,1736.6
C0006,28,1,1241.6,1077.8,2.535,2.295,60.5,1768.1
C0006,29,1,1235.1,1093.6,2.529,2.294,58.3,1759.6
C0006,30,1,1236.4,1100.9,2.512,2.309,56.8,1767.4
C0007,1,1,1234.9,1092.7,2.517,2.297,57.1,1765.9
C0007,2,1,1240.7,1116.9,2.519,2.307,57.0,1746.3
C0007,3,1,1243.4,1087.9,2.521,2.294,58.3,1777.1
C0007,4,1,1243.5,1104.8,2.517,2.31,55.9,1797.7
C0007,5,1,1245.1,1098.8,2.514,2.28,58.6,1792.5
C0007,6,1,1241.3,1097.3,2.514,2.311,58.3,1777.9
C0007,7,1,1238.3,1083.7,2.511,2.293,57.3,1796.1
C0007,8,1,1241.9,1077.6,2.521,2.31,57.3,1761.1
C0007,9,1,1241.0,1083.0,2.516,2.305,59.1,1772.2
C0007,10,1,1237.6,1080.8,2.512,2.306,58.6,1766.2
C0007,11,1,1242.6,1075.2,2.518,2.285,58.4,1792.4
C0007,12,1,1241.7,1080.2,2.507,2.292,59.5,1791.7
C0007,13,1,1240.3,1093.9,2.533,2.284,56.9,1779.5
C0007,14,1,1241.8,1073.6,2.519,2.301,58.5,1757.1
C0007,15,1,1241.9,1094.6,2.516,2.296,58.3,1783.3
C0007,16,1,1244.8,1093.5,2.5,2.306,56.7,1774.7
C0007,17,1,1243.1,1102.6,2.523,2.283,59.8,1776.2
C0007,18,1,1237.3,1103.2,2.507,2.297,59.3,1769.9
C0007,19,1,1244.7,1087.8,2.511,2.295,58.5,1759.7
C0007,20,1,1242.2,1076.8,2.527,2.295,56.0,1778.5
C0007,21,1,1243.4,1096.6,2.534,2.305,57.8,1772.4
C0007,22,1,1239.6,1077.2,2.519,2.297,59.5,1763.9
C0007,23,1,1241.4,1093.5,2.52,2.295,56.2,1754.2
C0007,24,1,1246.4,1093.3,2.531,2.303,60.1,1765.3
C0007,25,1,1241.5,1097.0,2.499,2.296,60.0,1781.2
C0007,26,1,1245.8,1078.4,2.518,2.297,59.5,1749.6
C0007,27,1,1237.2,1079.1,2.535,2.311,56.3,1767.0
C0007,28,1,1239.1,1103.2,2.505,2.302,56.6,1771.2
C0007,29,1,1244.4,1076.2,2.533,2.297,58.4,1770.9
C0007,30,1,1239.0,1081.4,2.506,2.31,58.1,1791.8
C0008,1,1,1236.3,1098.7,2.518,2.287,57.3,1775.4
C0008,2,1,1240.6,1099.6,2.498,2.307,59.2,1776.8
C0008,3,1,1238.6,1107.5,2.529,2.302,59.6,1792.7
C0008,4,1,1235.5,1091.1,2.507,2.304,58.4,1795.8
C0008,5,1,1240.6,1102.7,2.511,2.309,58.8,1758.9
C0008,6,1,1243.6,1095.9,2.524,2.307,58.5,1775.7
C0008,7,1,1241.1,1100.8,2.51,2.302,59.5,1806.9
C0008,8,1,1236.7,1078.5,2.523,2.28,57.9,1792.3
C0008,9,1,1243.0,1101.7,2.522,2.308,60.5,1799.8
C0008,10,1,1236.2,1091.8,2.504,2.291,59.4,1767.2
C0008,11,1,1241.4,1100.9,2.518,2.306,57.5,1811.1
C0008,12,1,1235.6,1093.0,2.526,2.299,58.0,1772.2
C0008,13,1,1234.0,1088.7,2.528,2.287,57.8,1787.1
C0008,14,1,1235.7,1100.4,2.52,2.3,57.4,1760.1
C0008,15,1,1241.1,1096.7,2.524,2.291,57.8,1763.0
C0008,16,1,1237.9,1097.8,2.498,2.301,58.2,1797.1
C0008,17,1,1240.9,1097.4,2.537,2.281,58.5,1792.0
C0008,18,1,1238.4,1113.3,2.526,2.307,59.4,1758.1
C0008,19,1,1239.6,1099.6,2.512,2.301,56.6,1781.0
C0008,20,1,1239.4,1102.8,2.501,2.305,57.3,1775.1
C0008,21,1,1240.6,1093.7,2.515,2.296,57.7,1809.9
C0008,22,1,1241.7,1106.3,2.527,2.297,58.9,1795.1
C0008,23,1,1239.7,1100.2,2.534,2.284,59.5,1773.5
C0008,24,1,1240.6,1112.1,2.505,2.293,58.0,1776.9
C0008,25,1,1237.6,1094.0,2.525,2.288,59.6,1760.9
C0008,26,1,1241.6,1106.4,2.507,2.311,57.8,1774.9
C0008,27,1,1242.8,1111.4,2.52,2.303,57.7,1768.8
C0008,28,1,1240.2,1092.6,2.509,2.31,59.5,1783.2
C0008,29,1,1238.8,1102.5,2.546,2.298,57.3,1789.1
C0008,30,1,1235.4,1101.2,2.496,2.281,60.8,1798.3
C0009,1,1,1230.4,1121.5,2.532,2.3,57.7,1802.7
C0009,2,1,1237.2,1105.9,2.508,2.318,57.5,1786.3
C0009,3,1,1226.3,1109.1,2.507,2.299,57.3,1766.5
C0009,4,1,1233.4,1117.9,2.524,2.297,57.7,1774.8
C0009,5,1,1234.9,1124.9,2.52,2.313,57.9,1780.7
C0009,6,1,1233.0,1105.3,2.508,2.311,59.1,1777.6
C0009,7,1,1230.4,1115.2,2.531,2.291,57.9,1789.3
C0009,8,1,1234.3,1095.2,2.498,2.3,55.7,1794.1
C0009,9,1,1232.7,1106.1,2.522,2.294,61.3,1789.8
C0009,10,1,1226.0,1106.0,2.505,2.285,57.5,1807.8
C0009,11,1,1236.5,1095.3,2.498,2.3,58.0,1771.4
C0009,12,1,1232.9,1101.5,2.525,2.304,58.5,1792.6
C0009,13,1,1237.1,1102.6,2.503,2.293,58.3,1822.0
C0009,14,1,1230.3,1106.4,2.511,2.3,58.5,1800.5
C0009,15,1,1232.2,1098.0,2.501,2.315,59.1,1809.0
C0009,16,1,1230.2,1103.5,2.521,2.296,58.0,1778.3
C0009,17,1,1233.0,1085.1,2.522,2.308,57.6,1776.8
C0009,18,1,1235.2,1099.7,2.525,2.326,56.8,1793.1
C0009,19,1,1231.3,1098.7,2.513,2.297,56.9,1785.6
C0009,20,1,1230.8,1098.6,2.504,2.301,58.2,1787.3
C0009,21,1,1231.7,1107.1,2.525,2.31,58.5,1764.6
C0009,22,1,1234.7,1098.5,2.524,2.318,57.2,1785.9
C0009,23,1,1234.6,1086.7,2.505,2.298,58.0,1775.2
C0009,24,1,1231.0,1111.3,2.508,2.295,58.3,1813.0
C0009,25,1,1235.8,1106.8,2.53,2.301,58.5,1789.2
C0009,26,1,1232.5,1095.2,2.503,2.303,58.9,1805.3
C0009,27,1,1231.6,1093.7,2.52,2.302,58.1,1789.0
C0009,28,1,1238.7,1113.6,2.516,2.313,57.5,1779.4
C0009,29,1,1234.5,1093.8,2.508,2.295,58.2,1783.9
C0009,30,1,1236.4,1128.2,2.516,2.286,57.1,1787.0
C0010,1,1,1237.6,1103.2,2.502,2.298,57.7,1792.5
C0010,2,1,1243.5,1117.8,2.518,2.294,58.5,1804.7
C0010,3,1,1241.8,1113.1,2.504,2.3,59.2,1799.5
C0010,4,1,1241.4,1118.7,2.526,2.303,57.9,1788.5
C0010,5,1,1245.3,1104.4,2.516,2.289,56.7,1774.4
C0010,6,1,1243.9,1127.7,2.493,2.299,60.2,1814.4
C0010,7,1,1243.5,1101.0,2.512,2.299,57.6,1811.0
C0010,8,1,1240.0,1109.6,2.499,2.293,56.9,1810.2
C0010,9,1,1239.3,1106.1,2.491,2.323,56.8,1793.5
C0010,10,1,1238.5,1113.7,2.503,2.293,57.9,1809.0
C0010,11,1,1240.0,1098.0,2.51,2.303,58.7,1817.3
C0010,12,1,1241.5,1109.2,2.52,2.307,57.9,1815.7
C0010,13,1,1240.4,1115.6,2.502,2.304,57.7,1795.4
C0010,14,1,1244.9,1108.6,2.512,2.293,57.1,1776.4
C0010,15,1,1244.9,1096.5,2.499,2.295,60.0,1798.2
C0010,16,1,1243.5,1095.4,2.503,2.316,58.8,1790.1
C0010,17,1,1239.6,1118.1,2.475,2.303,58.0,1773.7
C0010,18,1,1242.1,1113.9,2.51,2.302,59.3,1778.6
C0010,19,1,1243.7,1112.9,2.51,2.303,59.5,1815.8
C0010,20,1,1244.6,1101.8,2.51,2.305,58.9,1799.5
C0010,21,1,1239.7,1109.6,2.521,2.297,58.6,1769.3
C0010,22,1,1245.1,1109.3,2.503,2.313,57.1,1803.5
C0010,23,1,1246.9,1110.3,2.489,2.3,57.2,1812.5
C0010,24,1,1242.0,1108.1,2.508,2.3,59.0,1785.0
C0010,25,1,1242.3,1100.9,2.497,2.292,58.3,1791.9
C0010,26,1,1244.5,1123.8,2.484,2.288,58.4,1774.6
C0010,27,1,1246.6,1110.4,2.518,2.308,58.6,1796.8
C0010,28,1,1240.5,1104.7,2.495,2.301,55.3,1780.1
C0010,29,1,1239.8,1098.5,2.503,2.3,58.1,1783.6
C0010,30,1,1239.8,1124.8,2.489,2.307,56.5,1806.9
C0011,1,1,1234.6,1129.2,2.503,2.322,58.3,1794.5
C0011,2,1,1235.0,1117.2,2.501,2.315,58.5,1811.2
C0011,3,1,1236.2,1117.8,2.503,2.282,55.6,1812.2
C0011,4,1,1227.4,1108.8,2.51,2.293,57.9,1820.1
C0011,5,1,1227.9,1109.8,2.48,2.294,58.0,1804.9
C0011,6,1,1238.0,1112.4,2.51,2.308,57.7,1800.4
C0011,7,1,1228.0,1112.6,2.515,2.31,57.5,1787.7
C0011,8,1,1233.7,1105.8,2.496,2.317,60.0,1784.0
C0011,9,1,1234.6,1106.9,2.526,2.306,57.3,1795.2
C0011,10,1,1226.7,1126.1,2.504,2.295,56.0,1805.4
C0011,11,1,1233.8,1122.9,2.503,2.309,58.0,1782.5
C0011,12,1,1236.1,1116.8,2.479,2.289,57.5,1799.2
C0011,13,1,1231.1,1123.7,2.5,2.303,57.8,1781.1
C0011,14,1,1234.7,1113.2,2.514,2.287,58.8,1813.7
C0011,15,1,1229.3,1112.2,2.476,2.297,56.8,1832.8
C0011,16,1,1236.1,1127.8,2.464,2.304,57.7,1796.1
C0011,17,1,1229.9,1119.8,2.497,2.295,57.6,1797.7
C0011,18,1,1235.2,1127.2,2.507,2.313,60.0,1790.2
C0011,19,1,1233.6,1116.6,2.489,2.325,57.7,1800.1
C0011,20,1,1236.9,1118.9,2.523,2.279,58.8,1789.8
C0011,21,1,1234.4,1126.6,2.494,2.318,59.0,1780.9
C0011,22,1,1239.1,1124.4,2.487,2.314,58.1,1810.6
C0011,23,1,1231.1,1123.7,2.491,2.294,57.6,1809.6
C0011,24,1,1234.8,1128.1,2.507,2.298,58.4,1787.5
C0011,25,1,1233.8,1125.3,2.491,2.323,58.7,1773.9
C0011,26,1,1236.0,1121.6,2.513,2.297,59.9,1780.1
C0011,27,1,1229.6,1101.6,2.477,2.306,59.5,1809.3
C0011,28,1,1225.1,1132.1,2.513,2.304,58.1,1797.4
C0011,29,1,1226.7,1126.0,2.501,2.316,57.8,1793.1
C0011,30,1,1229.3,1120.3,2.479,2.278,57.3,1815.9
C0012,1,1,1236.2,1124.1,2.46,2.296,57.3,1785.6
C0012,2,1,1237.5,1136.3,2.491,2.3,56.0,1813.8
C0012,3,1,1234.0,1114.8,2.47,2.31,58.7,1803.1
C0012,4,1,1233.4,1131.8,2.502,2.301,58.4,1827.2
C0012,5,1,1230.8,1116.2,2.506,2.285,57.2,1800.2
C0012,6,1,1239.3,1127.5,2.494,2.287,58.9,1802.0
C0012,7,1,1236.2,1129.6,2.491,2.315,57.0,1792.0
C0012,8,1,1233.5,1141.6,2.478,2.316,57.8,1812.8
C0012,9,1,1238.1,1122.2,2.482,2.298,58.3,1793.4
C0012,10,1,1234.9,1117.5,2.486,2.286,58.7,1799.8
C0012,11,1,1231.6,1133.5,2.487,2.298,59.9,1806.8
C0012,12,1,1233.5,1136.0,2.496,2.309,58.1,1808.1
C0012,13,1,1232.9,1104.3,2.489,2.307,56.1,1824.2
C0012,14,1,1230.8,1109.7,2.509,2.303,59.5,1822.7
C0012,15,1,1233.3,1124.0,2.504,2.316,57.6,1809.9
C0012,16,1,1238.5,1136.7,2.496,2.278,58.0,1831.3
C0012,17,1,1237.1,1128.2,2.476,2.308,56.5,1799.1
C0012,18,1,1234.8,1136.8,2.483,2.305,58.0,1777.7
C0012,19,1,1234.2,1126.9,2.487,2.291,58.5,1778.0
C0012,20,1,1231.1,1128.9,2.479,2.295,58.5,1792.4
C0012,21,1,1235.2,1127.7,2.472,2.296,57.4,1796.3
C0012,22,1,1239.0,1133.2,2.497,2.278,57.0,1794.4
C0012,23,1,1238.3,1112.2,2.491,2.292,57.4,1798.4
C0012,24,1,1234.9,1136.0,2.509,2.285,59.3,1795.8
C0012,25,1,1243.1,1138.4,2.501,2.301,57.8,1806.5
C0012,26,1,1229.8,1112.5,2.507,2.314,58.0,1801.7
C0012,27,1,1232.5,1134.2,2.488,2.301,60.0,1822.0
C0012,28,1,1241.0,1122.1,2.475,2.322,59.8,1768.0
C0012,29,1,1235.6,1122.6,2.488,2.286,56.6,1790.5
C0012,30,1,1233.7,1120.4,2.494,2.297,61.5,1804.2
C0013,1,1,1237.4,1134.3,2.477,2.306,58.1,1786.4
C0013,2,1,1237.9,1145.8,2.485,2.297,58.4,1806.4
C0013,3,1,1232.1,1133.8,2.462,2.297,59.7,1812.7
C0013,4,1,1238.0,1137.1,2.479,2.286,61.3,1804.5
C0013,5,1,1242.1,1137.6,2.486,2.299,58.5,1839.2
C0013,6,1,1240.2,1123.3,2.492,2.302,58.0,1817.1
C0013,7,1,1241.7,1141.2,2.497,2.292,57.1,1799.5
C0013,8,1,1234.7,1127.9,2.453,2.304,58.5,1824.4
C0013,9,1,1238.3,1130.5,2.51,2.288,58.4,1798.2
C0013,10,1,1239.5,1125.6,2.503,2.315,56.1,1789.6
C0013,11,1,1237.7,1112.2,2.481,2.323,60.9,1828.9
C0013,12,1,1237.4,1148.3,2.497,2.313,55.9,1786.9
C0013,13,1,1236.0,1128.3,2.49,2.28,57.5,1815.3
C0013,14,1,1237.3,1125.9,2.466,2.319,56.9,1800.9
C0013,15,1,1242.2,1143.2,2.49,2.297,58.7,1821.3
C0013,16,1,1241.1,1126.9,2.474,2.326,58.1,1778.4
C0013,17,1,1242.0,1139.3,2.476,2.296,59.5,1809.5
C0013,18,1,1239.5,1139.4,2.487,2.305,57.4,1804.5
C0013,19,1,1239.0,1132.1,2.504,2.322,58.6,1805.5
C0013,20,1,1239.2,1136.8,2.493,2.299,57.7,1824.5
C0013,21,1,1247.4,1130.5,2.49,2.303,57.2,1822.0
C0013,22,1,1238.2,1134.3,2.491,2.317,57.0,1821.2
C0013,23,1,1239.9,1121.7,2.479,2.312,59.7,1801.5
C0013,24,1,1243.6,1124.8,2.466,2.316,57.5,1800.2
C0013,25,1,1242.0,1132.9,2.483,2.299,56.9,1797.7
C0013,26,1,1242.7,1133.2,2.469,2.293,57.3,1812.8
C0013,27,1,1242.8,1130.1,2.471,2.31,56.1,1815.0
C0013,28,1,1248.2,1137.7,2.494,2.288,58.2,1830.3
C0013,29,1,1242.0,1124.7,2.49,2.277,58.8,1771.6
C0013,30,1,1239.3,1143.6,2.481,2.284,58.7,1798.7
C0014,1,1,1238.0,1140.1,2.481,2.298,57.9,1826.8
C0014,2,1,1238.0,1131.1,2.495,2.301,56.6,1813.9
C0014,3,1,1243.1,1127.3,2.506,2.309,57.3,1803.2
C0014,4,1,1241.2,1147.9,2.494,2.29,58.9,1802.6
C0014,5,1,1241.3,1149.5,2.488,2.303,56.3,1799.9
C0014,6,1,1244.0,1129.8,2.494,2.305,57.0,1814.3
