샷,설비ID,실린더압력,주조압력,사이클타임,비스킷두께,형체력,품질등급
182,DIE-C-01,214.0,1036.0,93.1,12.0,247.0,불량
183,DIE-A-02,215.0,1041.0,21.3,4.0,258.0,불량
184,DIE-B-01,216.0,1044.0,21.2,11.0,259.0,불량
185,DIE-B-01,219.0,1058.0,21.3,2.0,255.0,불량
186,DIE-B-02,218.0,1054.0,21.4,2.0,253.0,불량
187,DIE-C-01,108.0,524.0,22.9,14.0,247.0,불량
188,DIE-A-01,,,,,,불량
189,DIE-A-01,,,,,,불량
190,DIE-B-01,,,,,,불량
191,DIE-B-02,238.0,1152.0,91.2,13.0,254.0,불량
192,DIE-B-01,113.0,255.0,36.9,26.0,366.0,불량
193,DIE-A-02,264.0,594.0,36.9,19.0,355.0,불량
194,DIE-C-01,113.0,255.0,34.4,19.0,370.0,불량
195,DIE-A-02,260.0,585.0,33.9,19.0,348.0,불량
196,DIE-A-01,264.0,594.0,76.3,19.0,381.0,불량
197,DIE-A-01,265.0,595.0,36.2,20.0,355.0,불량
198,DIE-A-01,113.0,255.0,36.6,27.0,354.0,불량
199,DIE-B-02,264.0,595.0,36.1,19.0,372.0,불량
200,DIE-A-01,108.0,525.0,6170.0,15.0,237.0,불량
