timestamp,machine_id,vibration,temperature
2024-03-01 09:08:30,1,0.476,66.34
2024-03-01 09:08:40,1,0.512,66.71
2024-03-01 09:08:50,1,0.509,67.0
2024-03-01 09:09:00,1,0.511,67.98
2024-03-01 09:09:10,1,0.502,66.89
2024-03-01 09:09:20,1,0.514,67.79
2024-03-01 09:09:30,1,0.507,66.57
2024-03-01 09:09:40,1,0.501,66.95
2024-03-01 09:09:50,1,0.529,66.59
2024-03-01 09:11:10,1,0.542,67.05
2024-03-01 09:11:20,1,0.504,67.21
2024-03-01 09:11:30,1,0.54,67.76
2024-03-01 09:11:40,1,0.514,69.41
2024-03-01 09:11:50,1,0.534,67.6
2024-03-01 09:12:00,1,0.502,68.18
2024-03-01 09:12:10,1,0.526,68.58
2024-03-01 09:12:20,1,0.532,67.91
2024-03-01 09:12:30,1,0.554,68.31
2024-03-01 09:12:40,1,0.573,68.16
2024-03-01 09:12:50,1,0.55,68.47
2024-03-01 09:13:00,1,0.546,67.28
2024-03-01 09:13:10,1,0.522,68.07
2024-03-01 09:13:20,1,0.516,68.29
2024-03-01 09:13:30,1,0.55,68.33
2024-03-01 09:13:40,1,0.55,68.78
2024-03-01 09:13:50,1,0.562,68.42
2024-03-01 09:14:00,1,0.565,67.51
2024-03-01 09:14:10,1,0.56,68.6
2024-03-01 09:14:20,1,0.525,67.77
2024-03-01 09:14:30,1,0.574,67.93
2024-03-01 09:14:50,1,0.541,68.38
2024-03-01 09:15:00,1,0.554,67.57
2024-03-01 09:15:10,1,0.536,69.22
2024-03-01 09:15:20,1,0.559,67.91
2024-03-01 09:15:30,1,0.582,69.59
2024-03-01 09:15:40,1,0.563,68.03
2024-03-01 09:15:50,1,0.554,69.52
2024-03-01 09:16:00,1,0.568,68.78
2024-03-01 09:16:10,1,0.584,67.82
2024-03-01 09:16:20,1,0.549,68.27
2024-03-01 09:16:30,1,0.558,69.75
2024-03-01 09:16:40,1,0.583,69.27
2024-03-01 09:16:50,1,0.557,69.0
2024-03-01 09:17:00,1,0.623,67.77
2024-03-01 09:17:10,1,0.582,69.98
2024-03-01 09:17:20,1,0.569,70.32
2024-03-01 09:17:30,1,0.573,70.26
2024-03-01 09:17:40,1,0.581,68.93
2024-03-01 09:17:50,1,0.581,69.58
2024-03-01 09:18:00,1,0.553,69.7
2024-03-01 09:18:10,1,0.621,68.53
2024-03-01 09:18:20,1,0.598,69.61
2024-03-01 09:18:30,1,0.599,70.19
2024-03-01 09:18:40,1,0.618,70.06
2024-03-01 09:18:50,1,0.582,68.98
2024-03-01 09:19:00,1,0.59,69.18
2024-03-01 09:19:10,1,0.616,70.22
2024-03-01 09:19:20,1,0.608,70.18
2024-03-01 09:19:30,1,0.617,68.5
2024-03-01 09:19:40,1,0.611,68.43
2024-03-01 09:19:50,1,0.609,69.9
2024-03-01 09:20:00,1,0.645,69.65
2024-03-01 09:20:10,1,0.639,69.87
2024-03-01 09:20:20,1,0.57,69.85
2024-03-01 09:20:30,1,0.651,70.74
2024-03-01 09:20:40,1,0.666,70.26
2024-03-01 09:20:50,1,0.65,70.41
2024-03-01 09:21:00,1,0.623,69.49
2024-03-01 09:21:10,1,0.615,68.33
2024-03-01 09:21:20,1,0.645,71.07
2024-03-01 09:21:30,1,0.62,71.74
2024-03-01 09:21:40,1,0.641,70.29
2024-03-01 09:21:50,1,0.635,70.7
2024-03-01 09:22:10,1,0.632,71.66
2024-03-01 09:22:20,1,0.632,71.23
2024-03-01 09:22:30,1,0.651,71.05
2024-03-01 09:22:40,1,0.683,70.83
2024-03-01 09:22:50,1,0.648,70.89
2024-03-01 09:23:00,1,0.64,70.04
2024-03-01 09:23:10,1,0.667,70.72
2024-03-01 09:23:20,1,0.666,71.53
2024-03-01 09:23:30,1,0.635,70.91
2024-03-01 09:23:40,1,0.645,71.13
2024-03-01 09:23:50,1,0.679,70.44
2024-03-01 09:24:00,1,0.668,71.47
2024-03-01 09:24:10,1,0.612,70.37
2024-03-01 09:24:20,1,0.672,71.47
2024-03-01 09:24:30,1,0.683,71.24
2024-03-01 09:24:40,1,0.65,70.35
2024-03-01 09:24:50,1,0.682,72.09
2024-03-01 09:25:00,1,0.707,71.4
2024-03-01 09:25:10,1,0.68,72.67
2024-03-01 09:25:20,1,0.661,72.49
2024-03-01 09:25:30,1,0.665,71.12
2024-03-01 09:25:40,1,0.677,71.22
2024-03-01 09:25:50,1,0.687,71.05
2024-03-01 09:26:00,1,0.682,70.85
2024-03-01 09:26:10,1,0.693,71.6
2024-03-01 09:26:20,1,0.681,72.77
2024-03-01 09:26:30,1,0.69,70.8
2024-03-01 09:26:40,1,0.707,72.51
2024-03-01 09:26:50,1,0.669,72.51
2024-03-01 09:27:00,1,0.694,72.43
2024-03-01 09:27:10,1,0.696,72.59
2024-03-01 09:27:20,1,0.714,71.54
2024-03-01 09:27:30,1,0.692,72.71
2024-03-01 09:27:40,1,0.712,71.97
2024-03-01 09:27:50,1,0.723,70.87
2024-03-01 09:28:00,1,0.665,72.43
2024-03-01 09:28:10,1,0.728,71.94
2024-03-01 09:28:30,1,0.686,72.38
2024-03-01 09:28:40,1,0.652,72.63
2024-03-01 09:28:50,1,0.695,72.88
2024-03-01 09:29:00,1,0.713,72.54
2024-03-01 09:29:10,1,0.707,72.69
2024-03-01 09:29:20,1,0.708,73.31
2024-03-01 09:29:30,1,0.696,72.21
2024-03-01 09:29:40,1,0.738,72.48
2024-03-01 09:29:50,1,0.741,72.37
2024-03-01 09:30:00,1,0.732,73.86
2024-03-01 09:30:10,1,0.688,72.63
2024-03-01 09:30:20,1,0.773,73.01
2024-03-01 09:30:30,1,0.732,72.79
2024-03-01 09:30:40,1,0.742,73.02
2024-03-01 09:30:50,1,0.703,72.81
2024-03-01 09:31:00,1,0.735,73.58
2024-03-01 09:31:10,1,0.745,72.73
2024-03-01 09:31:20,1,0.736,72.59
2024-03-01 09:31:30,1,0.758,73.11
2024-03-01 09:31:40,1,0.768,73.02
2024-03-01 09:31:50,1,0.717,72.75
2024-03-01 09:32:00,1,0.763,73.41
2024-03-01 09:32:10,1,0.755,72.65
2024-03-01 09:32:20,1,0.749,74.74
2024-03-01 09:32:30,1,0.72,72.85
2024-03-01 09:32:40,1,0.782,73.41
2024-03-01 09:32:50,1,0.763,73.61
2024-03-01 09:33:00,1,0.721,74.91
2024-03-01 09:33:10,1,0.753,72.91
