설비라인,온도,압력,진동,전류,습도,판정
A라인,84.21,,2.8,15.35,45.75,불량
B라인,76.1,96.94,2.18,14.18,54.99,불량
C라인,67.65,97.77,2.18,12.92,36.31,불량
B라인,66.79,104.49,1.69,11.93,47.69,양품
C라인,84.91,,3.13,15.04,37.67,불량
A라인,85.34,97.96,3.3,14.49,39.62,불량
B라인,73.92,101.49,2.47,12.62,56.82,양품
C라인,72.7,104.03,2.18,14.24,40.66,양품
B라인,83.77,100.53,3.0,15.44,48.7,양품
A라인,68.36,100.33,1.96,11.42,30.03,양품
C라인,69.63,105.78,2.46,13.23,59.9,양품
A라인,78.86,105.46,1.95,15.46,49.82,양품
B라인,72.63,103.14,2.16,14.78,43.54,양품
C라인,74.97,104.23,1.7,15.02,49.6,양품
A라인,74.02,105.17,1.83,13.92,33.72,양품
A라인,77.03,104.39,2.98,13.4,54.46,불량
A라인,83.44,101.88,3.14,13.93,42.41,양품
A라인,75.54,103.01,2.18,14.41,43.37,불량
A라인,78.86,102.28,2.07,14.84,41.07,양품
B라인,62.7,99.85,0.75,13.81,40.35,양품
A라인,74.71,103.45,2.2,15.06,50.56,불량
B라인,69.94,97.99,2.99,13.26,47.05,불량
A라인,67.69,100.01,2.19,11.88,50.21,양품
A라인,69.73,106.0,1.94,13.05,44.93,양품
A라인,73.0,104.12,2.46,13.98,49.11,양품
B라인,80.5,104.94,2.13,14.46,41.65,양품
B라인,67.04,101.68,6.59567373444731,12.47,62.84,불량
A라인,75.18,97.82,2.44,14.27,,양품
C라인,72.09,101.01,2.22,13.15,55.09,양품
B라인,73.03,101.9,2.58,13.14,55.94,불량
A라인,81.02,100.63,2.82,15.03,38.18,양품
C라인,78.23,104.22,2.8,13.99,62.83,양품
A라인,83.02,99.01,2.56,15.21,52.96,불량
A라인,74.07,102.5,2.67,14.16,52.77,양품
B라인,70.82,98.96,2.76,12.36,45.22,양품
A라인,73.66,102.85,1.99,13.36,43.26,양품
A라인,76.45,101.09,2.16,15.61,43.32,양품
B라인,76.06,98.89,2.92,12.97,48.12,양품
A라인,68.49,101.57,2.01,11.1,56.21,양품
C라인,75.54,100.67,7.593226082065386,12.2,,불량
C라인,76.37,100.28,2.31,14.19,37.71,양품
B라인,90.1,104.35,3.66,15.84,51.6,양품
B라인,86.26,99.32,3.01,15.23,52.37,양품
B라인,69.88,101.34,2.23,14.6,50.24,불량
C라인,73.28,95.27,2.86,11.12,50.96,양품
A라인,66.22,99.93,1.83,13.34,42.83,양품
A라인,71.46,101.04,1.89,15.14,37.57,불량
B라인,76.89,98.96,2.34,13.1,38.05,불량
B라인,82.24,104.36,2.92,14.49,,양품
A라인,70.63,101.46,1.63,12.72,46.9,양품
B라인,71.08,105.75,2.43,12.63,44.33,양품
A라인,62.12,103.42,1.57,12.13,41.48,양품
C라인,74.02,101.56,2.75,15.31,21.36,양품
A라인,68.63,101.99,1.24,15.07,35.02,양품
A라인,71.82,101.79,1.97,13.28,53.97,양품
A라인,69.74,107.25,1.55,15.27,39.68,양품
A라인,74.43,94.43,2.08,13.97,47.88,양품
A라인,64.45,96.88,1.96,14.49,33.87,양품
A라인,66.2,100.99,1.9,12.85,56.51,양품
A라인,87.78,99.43,2.95,15.66,43.85,양품
A라인,67.28,104.53,1.96,13.44,47.32,양품
A라인,68.42,103.71,2.14,16.39,63.61,양품
A라인,86.02,98.49,2.6,16.17,57.13,불량
A라인,92.43,101.74,3.52,15.38,42.55,양품
A라인,67.97,105.44,2.28,14.13,40.25,양품
A라인,72.79,102.18,2.42,13.37,42.4,양품
A라인,77.05,103.88,2.7,13.76,49.08,양품
A라인,85.37,100.56,3.02,16.15,44.16,양품
C라인,69.08,100.5,2.82,13.32,41.84,양품
C라인,73.53,103.61,2.3,14.1,56.74,양품
C라인,79.66,100.93,2.53,14.57,44.09,불량
B라인,77.61,,2.27,14.65,63.4,불량
B라인,72.74,106.06,1.93,14.15,45.73,불량
A라인,74.2,94.07,1.92,11.97,59.28,불량
C라인,66.75,98.28,1.68,13.68,47.86,양품
C라인,73.57,97.95,2.3,12.85,52.7,양품
C라인,73.4,100.45,2.44,12.37,39.2,양품
C라인,76.39,100.33,2.49,14.11,38.17,불량
B라인,71.67,97.28,1.97,13.68,48.68,양품
C라인,77.83,97.92,2.86,13.65,52.91,불량
C라인,81.08,97.81,2.96,15.56,45.32,양품
A라인,75.93,108.53,2.39,12.77,34.71,불량
C라인,77.11,106.39,2.28,13.85,34.12,양품
A라인,75.32,100.02,2.61,13.45,33.58,양품
C라인,75.0,100.21,2.47,13.95,30.86,양품
C라인,70.67,98.5,1.68,13.76,,양품
A라인,76.9,95.29,2.47,13.22,54.0,양품
B라인,74.42,101.04,2.46,14.65,44.89,불량
A라인,87.56,96.42,2.71,15.57,26.92,양품
C라인,84.44,99.63,2.94,13.24,43.47,양품
C라인,77.32,96.15,2.01,12.32,43.7,양품
B라인,70.42,99.7,2.64,13.44,61.77,양품
C라인,68.33,102.75,2.5,12.98,33.34,양품
A라인,82.15,101.33,2.67,14.75,41.87,불량
A라인,76.58,102.32,2.61,14.16,58.65,불량
B라인,77.88,96.91,1.7,14.57,48.6,양품
A라인,64.53,105.43,1.47,13.69,49.51,양품
B라인,80.56,98.06,2.58,13.56,45.92,양품
A라인,77.73,102.79,2.16,13.16,47.64,양품
A라인,68.34,102.27,2.32,12.11,51.22,양품
B라인,72.17,97.6,2.96,13.95,38.52,양품
C라인,76.58,100.11,2.07,15.43,52.02,양품
A라인,75.31,102.35,2.12,13.61,34.02,양품
C라인,73.25,103.4,2.39,11.29,47.63,양품
B라인,74.38,100.97,2.93,12.22,46.43,불량
A라인,73.49,106.12,1.9,12.99,40.07,양품
B라인,75.92,104.19,2.53,13.55,44.82,양품
B라인,83.83,99.21,3.48,14.65,40.02,불량
A라인,59.6,105.86,1.05,12.19,36.43,양품
B라인,73.58,107.31,1.88,13.52,42.17,양품
A라인,76.06,107.02,2.3,15.18,36.17,양품
A라인,76.78,97.35,2.31,13.54,47.58,양품
B라인,72.77,,2.57,12.87,35.8,양품
B라인,64.46,107.34,1.96,13.21,,양품
C라인,76.97,,1.88,12.7,35.55,양품
